Conductivity,pH,Turbidity
741.0,8.42,32.9
886.0,8.17,15.0
1029.0,8.17,26.0
1152.0,8.16,23.8
1231.0,8.13,13.0
1230.0,8.08,37.1
1304.0,8.04,21.8
1440.0,7.4,7.51
1450.0,7.67,37.9
782.0,8.03,118.0
986.0,7.51,23.0
515.0,7.76,347.0
742.0,8.05,2.67
866.0,7.96,2.7
947.0,7.96,7.29
420.0,8.2,15.8
340.0,8.1,26.1
160.0,7.7,447.0
420.0,8.1,5.3
510.0,8.1,6.3
640.0,8.0,10.6
715.0,7.8,9.3
728.0,7.8,7.5
735.0,7.9,17.2
713.0,7.9,6.8
728.0,8.2,3.3
746.0,8.0,3.4
764.0,8.2,4.2
789.0,8.2,5.2
847.0,8.2,9.7
843.0,8.1,18.8
877.0,8.2,5.8
802.0,8.2,7.1
1031.0,8.03,35.4
516.0,7.96,349.0
400.3,8.05,156.0
634.0,7.72,23.3
677.0,7.64,17.9
332.2,8.18,24.7
498.1,10.16,14.0
340.6,8.11,29.7
573.0,8.13,19.3
391.1,8.65,15.0
607.0,7.92,16.0
259.5,8.05,88.0
523.0,8.23,1.84
630.0,8.03,1.7
676.0,8.29,2.97
387.3,7.7,102.0
370.0,7.6,30.1
250.0,7.6,819.0
420.0,8.1,60.6
433.0,7.9,50.8
650.0,8.0,27.4
225.0,7.8,22.5
222.0,7.6,17.8
304.0,7.9,17.1
480.0,8.1,23.0
562.0,8.2,12.3
671.0,8.1,8.8
684.0,8.5,11.1
251.0,8.1,34.4
270.0,7.7,19.6
282.0,7.5,25.3
328.0,7.5,20.2
401.0,8.1,15.2
538.0,7.6,18.5
456.1,8.0,8.95
464.4,7.74,13.6
519.0,8.15,14.9
283.5,8.05,15.1
477.4,7.86,9.31
492.7,8.2,16.1
621.0,8.05,77.9
709.0,8.78,34.9
595.0,7.6,299.0
520.0,7.58,31.1
326.0,7.91,36.5
455.3,8.28,39.4
473.6,8.49,38.0
600.0,8.04,28.6
882.0,7.75,37.3
397.1,7.42,104.0
515.0,7.63,32.5
867.0,8.1,54.6
326.8,7.08,47.8
350.8,7.47,462.0
472.7,7.94,786.0
440.0,8.88,74.6
473.0,7.85,99.8
958.0,8.44,25.7
287.8,7.88,152.0
441.3,8.47,32.6
690.0,8.55,30.9
475.5,8.16,111.0
616.0,8.31,31.8
329.4,7.75,113.0
369.4,8.41,35.8
407.7,8.27,39.8
468.4,8.02,45.9
605.0,8.32,9.85
681.0,8.46,6.01
431.9,8.3,130.0
380.0,7.7,58.6
210.0,7.2,388.0
390.0,8.0,95.0
441.0,8.3,41.6
430.0,7.8,53.3
286.0,7.9,38.7
274.0,8.0,31.9
266.0,7.7,27.1
382.0,8.1,28.3
551.0,8.1,19.7
569.0,8.2,14.9
506.0,8.3,14.7
278.0,8.1,51.9
363.0,8.1,34.8
292.0,7.9,32.6
336.0,8.3,27.2
372.0,8.0,24.2
531.0,8.22,22.0
443.0,8.0,23.8
467.3,8.16,13.4
473.2,8.54,12.9
492.9,8.41,13.6
532.0,8.43,18.3
497.5,8.26,20.4
491.6,8.74,59.9
691.0,8.66,34.3
155.5,7.69,298.0
223.8,7.51,218.0
333.6,7.81,129.0
356.9,8.37,65.2
361.2,8.11,49.3
410.5,8.53,69.3
635.0,8.07,81.1
632.0,7.93,42.6
636.0,8.29,40.0
1017.0,8.8,38.5
268.6,7.15,136.0
481.8,7.58,152.0
276.3,7.37,407.0
440.0,8.08,112.0
463.8,8.04,32.2
450.1,7.43,26.7
425.0,7.66,153.0
390.1,8.0,99.0
448.5,7.67,32.9
637.0,8.36,77.4
628.0,7.93,32.9
279.0,7.66,182.0
554.0,7.73,79.7
360.6,7.27,56.3
302.7,7.04,262.0
566.0,7.45,31.6
642.0,7.73,32.6
240.0,7.6,65.5
410.0,8.0,13.8
210.0,7.5,188.0
340.0,8.1,36.9
444.0,7.6,65.5
730.0,8.2,10.8
550.0,8.4,48.4
620.0,8.3,32.6
772.0,8.2,30.9
539.0,8.1,24.0
724.0,8.3,14.1
736.0,8.3,21.1
712.0,8.6,8.1
880.0,8.8,24.3
911.0,8.0,31.1
893.0,8.2,43.2
716.0,8.3,31.9
823.0,8.0,20.8
899.0,8.2,28.3
835.0,8.4,15.7
1066.0,8.26,36.8
1067.0,8.04,39.3
1020.0,8.02,27.8
1020.0,7.78,22.1
730.0,8.28,27.1
982.0,8.93,6.2
950.0,7.95,16.6
363.9,7.49,470.0
947.0,7.75,69.1
1118.0,7.76,55.7
1542.0,7.88,21.6
1191.0,7.9,37.3
1303.0,8.11,46.3
1591.0,7.96,32.8
1698.0,7.68,14.2
1335.0,7.58,38.3
1761.0,7.96,3.59
671.0,7.18,295.0
525.0,7.61,309.0
659.0,8.1,290.0
1008.0,8.23,34.3
1058.0,8.22,26.5
693.0,7.99,46.0
345.8,7.62,82.1
458.3,8.35,23.2
815.0,8.06,21.6
377.5,8.0,136.0
956.0,8.07,49.7
351.5,7.88,62.2
695.0,8.05,28.6
754.0,8.21,63.0
482.9,8.0,32.3
665.0,8.25,4.91
719.0,7.95,4.78
110.0,7.7,21.9
100.0,8.2,24.3
98.0,7.9,56.0
120.0,8.5,3.5
122.0,8.5,2.6
140.0,7.4,32.6
164.0,7.2,19.2
129.0,7.4,10.1
138.0,7.5,17.6
128.0,7.7,4.0
144.0,7.9,4.4
138.0,8.1,7.5
179.0,7.7,6.9
158.0,7.6,5.1
156.0,7.7,2.8
171.0,7.3,22.2
170.0,7.1,60.6
241.3,7.42,5.59
201.0,7.3,11.2
204.4,7.79,5.27
193.5,7.88,6.09
194.5,7.95,6.75
204.8,8.42,5.06
215.6,8.95,4.61
213.5,8.6,5.49
229.8,7.63,5.25
241.0,7.57,3.23
259.6,7.38,6.5
265.0,7.77,6.56
270.5,7.83,11.8
289.1,7.75,6.21
288.0,8.56,10.2
379.7,8.42,7.13
377.2,7.91,18.0
383.6,7.39,10.6
468.0,7.82,12.1
178.2,7.15,20.4
156.2,7.03,14.1
163.9,7.5,24.3
175.1,7.92,9.33
154.0,7.89,7.72
125.8,8.26,11.1
117.9,7.89,16.5
119.5,7.55,7.82
144.4,7.52,4.92
134.4,7.4,6.04
143.2,7.31,7.03
135.6,7.34,62.7
143.1,7.3,8.85
136.7,7.37,6.31
103.2,7.42,11.0
128.7,7.5,4.25
135.5,7.6,5.35
220.0,7.4,9.8
270.0,8.3,1.8
210.0,8.0,9.5
350.0,7.7,7.6
335.0,7.4,11.5
430.0,8.3,13.4
440.0,8.0,6.9
498.0,8.1,4.7
315.0,7.9,4.5
376.0,8.5,1.8
371.0,8.2,0.8
386.0,8.1,1.4
432.0,8.1,5.7
384.0,7.9,11.1
166.0,8.0,26.4
444.0,8.2,18.3
431.0,7.52,3.67
570.0,7.47,8.18
549.0,7.75,3.93
582.0,8.09,13.7
607.0,8.23,4.25
677.0,8.84,17.9
817.0,8.14,45.4
651.0,7.68,14.6
504.0,8.03,7.01
371.2,8.13,14.6
337.8,8.22,6.88
449.6,8.21,4.62
374.0,8.07,2.54
291.7,8.22,5.19
300.9,8.74,1.16
378.7,8.23,1.72
300.4,8.05,3.31
436.4,7.97,19.5
185.9,7.57,80.9
390.0,8.15,7.68
373.5,8.14,9.53
305.3,8.37,2.71
353.0,8.19,2.21
386.9,8.17,1.48
270.0,8.2,57.1
340.0,7.7,170.0
445.0,8.1,93.1
490.0,7.9,34.2
314.0,7.8,124.0
250.0,7.7,110.0
246.0,7.9,123.0
260.0,7.9,110.0
350.0,8.2,58.0
160.0,8.0,227.0
616.0,8.3,30.5
587.0,8.2,60.6
338.0,7.9,122.0
326.0,8.1,66.8
343.0,8.0,59.1
386.0,7.9,47.8
526.0,8.29,28.5
636.0,8.1,25.0
583.0,8.21,25.6
160.1,7.66,255.0
244.7,7.3,934.0
110.0,6.83,637.0
261.1,7.45,66.1
283.1,8.19,18.8
247.7,7.41,267.0
384.3,8.88,37.6
390.6,7.85,42.4
516.0,7.95,80.5
666.0,8.17,118.0
270.5,7.41,198.0
392.2,8.32,65.0
359.5,7.42,172.0
199.2,6.75,350.0
456.3,7.64,66.7
553.0,7.95,56.0
150.0,7.1,22.3
190.0,7.4,13.1
190.0,7.0,83.6
170.0,7.8,16.6
207.0,7.1,22.3
520.0,7.4,11.2
427.0,7.5,9.3
447.0,7.4,13.7
405.0,7.4,6.1
150.0,7.6,13.6
354.0,7.6,3.7
376.0,7.8,1.9
484.0,7.5,6.3
720.0,7.7,7.8
685.0,7.5,10.1
597.0,7.6,6.1
396.0,7.8,9.4
730.0,7.4,10.3
805.0,7.5,17.3
849.0,7.71,3.7
896.0,7.66,8.21
894.0,7.75,19.4
843.0,7.48,25.0
471.9,7.77,7.62
519.0,7.41,16.1
655.0,8.91,12.7
686.0,7.5,11.4
532.0,7.32,306.0
777.0,7.23,42.2
1298.0,7.26,5.22
1508.0,7.25,7.87
1326.0,7.33,11.2
836.0,7.74,14.8
900.0,7.94,14.4
890.0,7.6,13.0
809.0,7.4,11.1
1459.0,7.97,7.38
318.1,7.23,175.0
252.1,7.24,72.6
402.2,7.61,63.9
420.9,7.62,35.9
473.4,7.79,24.5
339.1,7.7,29.7
186.8,7.78,34.7
250.0,7.41,19.5
371.4,7.06,18.8
220.9,7.87,45.5
678.0,7.49,13.5
183.0,7.48,32.7
362.8,7.39,17.6
206.7,7.59,48.0
235.5,7.46,15.3
536.0,7.11,21.0
411.9,7.59,10.9
210.0,7.5,14.6
260.0,7.7,8.0
200.0,7.7,39.4
310.0,8.2,6.5
289.0,8.2,21.0
360.0,7.8,9.7
301.0,7.9,13.3
388.0,7.9,16.4
364.0,7.9,12.9
308.0,7.6,13.3
367.0,7.9,7.9
397.0,8.1,4.2
421.0,7.7,6.1
407.0,7.8,9.7
459.0,8.1,16.9
428.0,7.9,12.0
372.0,8.0,11.6
402.0,7.8,13.0
405.6,7.77,12.5
383.0,8.0,9.6
463.2,7.91,49.6
438.4,8.02,13.4
496.8,8.06,17.5
413.0,7.71,15.0
402.8,7.94,9.44
414.3,7.53,9.58
422.4,8.23,7.84
370.3,7.72,215.0
430.4,7.91,9.16
524.0,8.02,9.15
