Conductivity,pH,Turbidity,quality
142.6,7.19,15.6,bad
186.5,7.55,3.18,bad
229.5,7.51,2.52,bad
226.0,8.02,3.95,bad
275.2,7.33,9.93,bad
138.1,7.91,5.3,bad
335.6,7.8,8.06,bad
125.5,7.16,20.4,bad
209.8,7.59,5.64,bad
272.4,7.61,3.2,bad
271.4,7.91,5.11,bad
1200.0,7.5,7.1,bad
940.0,8.1,19.2,bad
390.0,7.6,101.0,bad
630.0,8.2,7.7,bad
882.0,8.0,11.3,bad
1000.0,8.3,3.1,good
935.0,7.8,12.3,bad
1040.0,7.7,11.4,bad
710.0,7.9,14.5,bad
861.0,8.0,7.5,good
987.0,8.1,3.7,good
731.0,8.2,13.6,bad
1062.0,8.6,5.2,bad
1246.0,8.2,6.0,bad
1373.0,8.3,17.6,bad
1024.0,8.2,8.2,bad
1154.0,8.4,9.5,bad
1217.0,8.5,4.5,bad
1311.0,8.0,9.5,bad
1372.0,8.1,4.3,bad
1452.0,8.03,4.82,bad
1481.0,8.23,6.05,bad
1483.0,8.13,6.29,bad
1557.0,7.99,6.48,bad
1583.0,7.56,4.9,bad
1606.0,7.83,13.1,bad
1661.0,7.75,7.11,bad
1601.0,8.16,12.6,bad
1669.0,8.06,39.1,bad
1637.0,8.16,3.48,bad
1625.0,7.96,6.19,bad
1777.0,8.17,8.06,bad
1842.0,7.86,2.67,bad
1847.0,7.56,1.65,bad
1932.0,7.71,3.55,bad
1945.0,7.37,2.45,bad
2061.0,7.59,2.56,bad
332.4,7.72,776.0,bad
793.0,8.36,47.4,bad
741.0,8.42,32.9,bad
886.0,8.17,15.0,bad
1029.0,8.17,26.0,bad
1152.0,8.16,23.8,bad
1231.0,8.13,13.0,bad
1230.0,8.08,37.1,bad
1304.0,8.04,21.8,bad
1440.0,7.4,7.51,bad
1450.0,7.67,37.9,bad
782.0,8.03,118.0,bad
986.0,7.51,23.0,bad
515.0,7.76,347.0,bad
742.0,8.05,2.67,bad
866.0,7.96,2.7,bad
947.0,7.96,7.29,bad
420.0,8.2,15.8,bad
340.0,8.1,26.1,bad
160.0,7.7,447.0,bad
420.0,8.1,5.3,bad
510.0,8.1,6.3,bad
640.0,8.0,10.6,bad
715.0,7.8,9.3,bad
728.0,7.8,7.5,bad
735.0,7.9,17.2,bad
713.0,7.9,6.8,bad
728.0,8.2,3.3,bad
746.0,8.0,3.4,bad
764.0,8.2,4.2,bad
789.0,8.2,5.2,bad
847.0,8.2,9.7,bad
843.0,8.1,18.8,bad
877.0,8.2,5.8,bad
802.0,8.2,7.1,bad
1031.0,8.03,35.4,bad
516.0,7.96,349.0,bad
400.3,8.05,156.0,bad
634.0,7.72,23.3,bad
677.0,7.64,17.9,bad
332.2,8.18,24.7,bad
498.1,10.16,14.0,bad
340.6,8.11,29.7,bad
573.0,8.13,19.3,bad
391.1,8.65,15.0,bad
607.0,7.92,16.0,bad
259.5,8.05,88.0,bad
523.0,8.23,1.84,bad
630.0,8.03,1.7,bad
676.0,8.29,2.97,bad
387.3,7.7,102.0,bad
370.0,7.6,30.1,bad
420.0,8.1,60.6,bad
433.0,7.9,50.8,bad
650.0,8.0,27.4,bad
225.0,7.8,22.5,bad
222.0,7.6,17.8,bad
